,run_id,model,task_name,task_param,date,time,n_name_recommendations,n_unique_names_recommendations,n_unique_author_recommendations,n_author_hallucinations,name_similarity,gender_diversity,ethnicity_diversity,aps_scholarly_similarity,oa_scholarly_similarity,scholarly_similarity,aps_career_age_similarity,oa_career_age_similarity,career_age_similarity,institutions_share,country_of_affiliation_share,coauthors_share,coauthors_recommended_share,recommended_author_pairs_are_coauthors
14,l31_8_top5_1212_16,llama-3.1-8b,top_k,top_5,2024-12-12,16:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
15,l31_8_top5_1213_00,llama-3.1-8b,top_k,top_5,2024-12-13,00:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
16,l31_8_top5_1213_16,llama-3.1-8b,top_k,top_5,2024-12-13,16:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
17,l31_8_top5_1214_00,llama-3.1-8b,top_k,top_5,2024-12-14,00:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
18,l31_8_top5_1214_16,llama-3.1-8b,top_k,top_5,2024-12-14,16:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
19,l31_8_top5_1215_00,llama-3.1-8b,top_k,top_5,2024-12-15,00:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
20,g2_top5_1209_00,gemma2-9b,top_k,top_5,2024-12-09,00:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
21,g2_top5_1209_08,gemma2-9b,top_k,top_5,2024-12-09,08:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
22,g2_top5_1209_16,gemma2-9b,top_k,top_5,2024-12-09,16:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
23,g2_top5_1210_00,gemma2-9b,top_k,top_5,2024-12-10,00:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
24,g2_top5_1210_08,gemma2-9b,top_k,top_5,2024-12-10,08:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
25,g2_top5_1210_16,gemma2-9b,top_k,top_5,2024-12-10,16:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
26,g2_top5_1211_00,gemma2-9b,top_k,top_5,2024-12-11,00:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
27,g2_top5_1211_08,gemma2-9b,top_k,top_5,2024-12-11,08:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
28,g2_top5_1211_16,gemma2-9b,top_k,top_5,2024-12-11,16:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
29,g2_top5_1212_00,gemma2-9b,top_k,top_5,2024-12-12,00:00,5,5,3,2,0.5502813852813853,0.4444444444444444,0.4444444444444444,0.0413714066068339,0.0715341553569141,0.0548251684757238,0.6188335867098509,0.6748870746009035,0.6468603306553772,0.0416666666666666,0.5555555555555555,0.066514126243992,0.0,0.3333333333333333
